query,answer,flagged,grounded,guard_in_ms,retrieval_ms,generation_ms,guard_out_ms,total_ms
. what is a corporation?,"A corporation is a legally recognized association of individuals created by law that acts as a single entity (a legal “person”). It has a continuous existence independent of its members, with powers and liabilities distinct from those of its members.",False,True,148,76,1225,986,2437
why did rachel carson write an obligation to endure,"Rachel Carson wrote *The Obligation to Endure* to make a convincing argument about the harmful effects of chemicals, pesticides, herbicides and fertilizers on the environment.",False,True,15,57,2105,1846,4024
chart for foods low in potassium.,I don't have enough information on this in the dataset.,False,True,19,53,2123,0,2196
bottom front of a cargo ship,I don't have enough information on this in the dataset.,False,True,16,48,1623,0,1688
honesty or integrity definition,"**Honesty:** Adherence to the facts; being truthful and accurate in what one says or does. (Source 2)

**Integrity:** A consistency of actions, values, methods, measures, principles, expectations, and outcomes. In ethics, it is regarded as the honesty, truthfulness, or accuracy of one’s actions. (Sources 1, 4, 5)",False,True,21,51,1390,1953,3416
what is barometric pressure in lincoln ne now?,I don't have enough information on this in the dataset.,False,True,21,131,2958,0,3110
struthers city school district state number,,True,False,15,55,0,0,1984
does medical marijuana help with ptsd,,True,False,16,46,0,0,2280
how many women did frank gifford marry,Frank Gifford was married to three women.,False,True,15,60,1611,1645,3332
how many ongoing trump administration investigations,,True,False,13,57,0,0,2087
guide to how to collect followers on wow,,True,False,43,68,0,0,1891
how long is zales layaway,,True,False,17,68,0,0,1781
how does pollution increase human population,I don't have enough information on this in the dataset.,False,True,15,56,986,0,1058
how does nhl playoff seeding work,"The NHL playoffs are organized by conference. Each conference has three divisions.  

* The three teams with the most points in the conference’s divisions are given the top three seeds (1‑3).  
* The next five highest‑point teams in the conference are seeded 4‑8.  

The 16 qualifying teams (8 per conference) play best‑of‑seven series. In the first round the match‑ups are:  

* 1 vs 8  
* 2 vs 7  
* 3 vs 6  
* 4 vs 5  

Seeds 1‑4 receive home‑ice advantage.",False,True,22,64,2423,1793,4304
does filth cause ringworm?,,True,False,46,89,0,0,2940
how much does it cost to recement a crown,,True,False,15,57,0,0,3008
what is barrel o slime?,,True,False,18,122,0,0,3011
how fast does an eagle travel,,True,False,18,49,0,0,3012
stubhub toll free number,,True,False,15,104,0,0,3013
how many kw do solar city panels produce,,True,False,16,56,0,0,3013
first defense nasal filter sales numbers,,True,False,15,58,0,0,2911
how to get clear desktop icon on windows 8,,True,False,15,53,0,0,2908
does delta fly to bangalore,,True,False,31,125,0,0,3006
how long for cantaloupe to mature,,True,False,15,65,0,0,2899
cost to replace converter with test pipe,,True,False,21,53,0,0,2812
defination arbitrary,,True,False,15,129,0,0,2815
how is time to degree calculated graduate degrees,,True,False,21,58,0,0,2766
what is barter system and its problems,,True,False,22,110,0,0,2940
did roblox have a power ranger event,,True,False,50,93,0,0,2877
study of climate weather,,True,False,18,144,0,0,3016
how to make an oil infused herbal infusion,,True,False,18,112,0,0,2925
culture of sociology definition,,True,False,19,62,0,0,2793
define radical neck,,True,False,41,120,0,0,2913
half cup how many ounces,,True,False,37,57,0,0,2903
define workday,,True,False,43,121,0,0,2848
how much xbox games cost,,True,False,21,123,0,0,2978
can a signed stipulation be overturned,,True,False,43,131,0,0,2901
can stress crack on glass pane be remedied,,True,False,44,51,0,0,3018
what is basal in dna,,True,False,40,116,0,0,2895
how effective is boniva,,True,False,42,52,0,0,2905
